Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,8820659,"Gaurav Srivastava (gk)","2023-10-31 15:44:37",1.00000,1,scipygaurav
2,11199141,"[Deleted] 0044351d-a31c-46db-ac71-f42c6e97a376","2023-11-06 19:30:26",1.00000,1,del=69e331f6224f7720
3,11203824,ABC_test,"2023-11-07 14:54:58",1.00000,4,shanzhengjie
4,11206373,"[Deleted] 352babd0-3b30-4e64-b5e5-3b6480470d41","2023-11-07 19:14:32",1.00000,3,del=309aadff811690df
5,11220776,dzhhdz,"2023-11-10 06:24:24",1.00000,4,dzhhdz
6,11223263,meaxiao,"2023-11-10 12:37:04",1.00000,2,meaxiao
7,11226541,Visco77,"2023-11-11 05:36:27",1.00000,3,visco77
8,11229237,"Nícolas Riccieri Gardin Assumpção","2023-11-11 19:07:10",1.00000,3,nriccieri
9,11255701,"Milo Mann","2023-11-16 18:55:56",1.00000,5,milomann
10,11259978,"samet günak","2023-11-17 15:11:52",1.00000,1,sametgnak
11,11260009,"Semih Günak","2023-11-17 15:18:45",1.00000,1,semihgnak
12,11263642,franklegolasyoung,"2023-11-19 09:12:58",1.00000,9,franklegolasyoung
13,11296537,"Govinda Bobade","2023-11-24 19:01:25",1.00000,5,govindab
14,10977171,"Daniil Solopov","2023-12-05 07:26:48",1.00000,12,daniilsolopov
15,9341285,"Hanzhang Fang","2023-11-29 03:50:15",1.00000,2,hanzhangfang
16,11329400,"Yang Yang Yang111","2023-12-01 08:42:45",1.00000,1,yangyangyang111
17,11340028,"Yevhen Lushnikov","2023-12-04 09:22:14",1.00000,7,yevhenlushnikov
18,11354278,sunson,"2023-12-06 06:59:13",1.00000,1,ssgaoyu
19,10560814,PHNPR,"2023-12-06 10:40:19",1.00000,2,praneethreddyphn
20,11361279,duweiduwei,"2023-12-07 06:16:49",1.00000,1,sashirin
21,11361392,"pooranam vaikundam","2023-12-07 06:35:38",1.00000,1,pooranamvaikundam
22,11375248,"Chen Sijun","2023-12-10 09:03:06",1.00000,1,chensijun
23,11378730,KuoZheng,"2023-12-11 04:23:16",1.00000,3,kuozheng
24,11378866,Sleeping_Mandu,"2023-12-11 05:16:11",1.00000,2,sleepingmandu
25,11379069,JuYa18,"2023-12-11 05:20:04",1.00000,1,juya18
26,11378906,kimyegyun,"2023-12-11 05:42:42",1.00000,3,kimyegyun
27,11374783,Prthmgoyl,"2023-12-11 06:14:13",1.00000,3,prthmgoyl
28,11388446,Leon_9c,"2023-12-13 02:39:07",1.00000,2,leon9c
29,2065527,dkaoki,"2023-12-13 02:23:44",1.00000,1,donaldkaoki
30,11036581,"huhu #2","2023-12-13 04:10:46",1.00000,1,huxiaoxu
31,11380148,VictorJuiz,"2023-12-14 03:36:01",1.00000,16,victorjuiz
32,11396154,"Timur Çağrı Bekdemir","2023-12-16 10:20:21",1.00000,3,timurarbekdemir
33,11004944,nathankim0917,"2023-12-25 11:36:20",1.00000,1,nathankim0917
